;RANGE0;RANGE1;RANGE2;RANGE3;RANGE4;RANGE5;RANGE6;RANGE7;RANGE8;RANGE9;RANGE10;RANGE11;RANGE12;RANGE13;RANGE14;RANGE15;RANGE16;RANGE17;RANGE18;RANGE19;RANGE20;RANGE21;RANGE22;RANGE23;RANGE24;RANGE25;RANGE26;RANGE27;RANGE28;RANGE29;RANGE30;RANGE31;RANGE32;RANGE33;RANGE34;RANGE35;RANGE36;RANGE37;RANGE38;RANGE39;RANGE40;RANGE41;RANGE42;RANGE43;RANGE44;RANGE45;RANGE46;RANGE47;RANGE48;RANGE49;RANGE50;RANGE51;RANGE52;RANGE53;RANGE54
Kristian Waagan;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99699944;-0.99699944;-0.99699944;-0.99699944;-0.99699944;-0.99524724;-0.99524724;-0.99699944;-0.99699944;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99699944;-0.99524724;-0.99524724;-0.99524724;-0.99699944;-1.0005038;-1.0005038;-1.0005038;
Myrna van Lunteren;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Mamta Satoor;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Fernanda Torres Pizzorno;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Dag H. Wanvik;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99699944;-0.99699944;-0.99524724;-0.99699944;-0.99699944;-0.99524724;-0.99524724;-0.99524724;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-0.99699944;-0.99524724;-0.99699944;-0.99524724;-0.99524724;-0.99524724;-0.99699944;-0.99875164;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;
Laura Stewart;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Oystein Grovlen;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-0.99349505;-0.98999065;-0.99174285;-0.98999065;-0.99174285;-0.99349505;-0.99349505;-0.99349505;-0.99524724;-0.99524724;-0.99699944;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Dyre Tjeldvoll;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-0.99875164;-0.99875164;-0.99875164;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Camilla Haase;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
John Herman Embretsen;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
Thomas Nielsen;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
V. Narayanan;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;-1.0005038;
